agent,outer_run,seed_used,actual_cumulative_return,annualized_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,RCSI,RCSI_z,significant_run,outperform_null_median,lower_5pct,upper_95pct,number_of_trades,transaction_cost,simulations_per_run,null_model
mean_reversion,16,116,8.309103382834618,0.1660352732064377,0.5749542699006219,0.3812447338081301,-0.604008216498277,1.7926410136064583,2.8688395689648134,3.870575887961861,93.30000000000001,0.067,1.1739251972991736,6.51646236922816,1.4055437669598303,0,1,-0.32370617475584973,9.423320409925582,66,0.00047,1000,random_timing_matched_duration
random,16,116,6.496169529358596,0.14903630715826058,0.5398884214591508,0.23842613806799895,-0.8139280291372587,10.207397997906728,18.2482656253269,27.6797587490972,36.1,0.639,0.19449914184159983,-3.711228468548132,-0.42457364612513504,0,0,0.6999352263030235,58.295716083808564,80,0.00047,1000,random_timing_matched_duration
momentum,16,116,23.82902973487983,0.25322313626676807,0.7249572758407131,0.26944887839901416,-0.6331084578634381,47.79313661821378,72.58084610517574,89.77211552456231,23.400000000000002,0.766,0.11577123036739606,-23.96410688333395,-0.5430619083155844,0,0,10.13123503491065,211.08713070334326,44,0.00047,1000,random_timing_matched_duration
breakout,16,116,8.919936639630139,0.1733505183311313,0.6034885601158502,0.29649715297446433,-0.5941113939327626,26.58202802509509,48.01752674320243,72.74408433829639,17.0,0.83,0.08092190762392612,-17.662091385464954,-0.5374676230956312,0,0,3.6506635845747217,152.04179731310757,43,0.00047,1000,random_timing_matched_duration
trend,17,117,7.0018835747368815,0.15600874107807927,0.5691728583835658,0.15769726885796706,-0.5940902103163633,26.26789808941491,44.99761823581508,67.42135730995525,10.9,0.891,0.0501222959631252,-19.266014514678027,-0.5635563592468326,0,0,4.482549246193693,136.13815279391702,132,0.00047,1000,random_timing_matched_duration
mean_reversion,17,117,8.309103382834618,0.1660352732064377,0.5749542699006219,0.3812447338081301,-0.604008216498277,1.876647026373257,3.000754576903368,3.8777066593898804,92.30000000000001,0.077,1.1135092748275182,6.43245635646136,1.3689402711979421,0,1,-0.32744439024710065,10.029238904736935,66,0.00047,1000,random_timing_matched_duration
random,17,117,6.496169529358596,0.14903630715826058,0.5398884214591508,0.23842613806799895,-0.8139280291372587,9.092660724496694,18.045685348996482,30.95042932188333,37.8,0.622,0.2062096153091813,-2.596491195138098,-0.37316173225008753,0,0,0.7494319846533964,59.183836133213795,80,0.00047,1000,random_timing_matched_duration
momentum,17,117,23.82902973487983,0.25322313626676807,0.7249572758407131,0.26944887839901416,-0.6331084578634381,47.5055521338561,69.61062794537877,72.20482148062351,18.6,0.814,0.0893755951107988,-23.67652239897627,-0.6340518163705264,0,0,11.098222324426418,195.15511467758483,44,0.00047,1000,random_timing_matched_duration
breakout,17,117,8.919936639630139,0.1733505183311313,0.6034885601158502,0.29649715297446433,-0.5941113939327626,26.17144693097623,47.824109669893424,59.81493997219719,14.2,0.858,0.06651271215129456,-17.251510291346094,-0.6504089621814632,0,0,4.735678778533164,156.84440161219808,43,0.00047,1000,random_timing_matched_duration
trend,18,118,7.0018835747368815,0.15600874107807927,0.5691728583835658,0.15769726885796706,-0.5940902103163633,27.810870141117558,49.63393243988956,74.9142751653373,9.9,0.901,0.04527520902093701,-20.808986566380675,-0.5690777728418636,0,0,4.545855418707347,155.05572984661814,132,0.00047,1000,random_timing_matched_duration
mean_reversion,18,118,8.309103382834618,0.1660352732064377,0.5749542699006219,0.3812447338081301,-0.604008216498277,1.8236551640937646,3.1854933175387137,4.297340073087471,90.8,0.092,1.0362121726544447,6.485448218740853,1.1922747509286111,0,1,-0.32787815834695766,11.688136406267105,66,0.00047,1000,random_timing_matched_duration
random,18,118,6.496169529358596,0.14903630715826058,0.5398884214591508,0.23842613806799895,-0.8139280291372587,10.319062666169875,18.851921705700878,27.445123093939493,37.0,0.63,0.2006594505464183,-3.8228931368112793,-0.45019846090873294,0,0,1.0592376623695126,69.08998531702863,80,0.00047,1000,random_timing_matched_duration
